URN,Provision type,Registration Status,Sector,Owner,Source
SC423407,Children's home,Active,Private,Keys Care Limited,ofsted-spreadsheets
SC423453,Children's home,Active,Private,Wood Grove (childcare) Ltd,ofsted-spreadsheets
SC423460,Children's home,Active,Private,Teen-Works Care Limited,ofsted-spreadsheets
SC423606,Children's home,Active,Private,Reamcare Limited,ofsted-spreadsheets
SC423617,Children's home,Active,Private,Acorn Children's Home Limited,ofsted-spreadsheets
SC423741,Children's home,Active,Private,Cambian Childcare Ltd,ofsted-spreadsheets
SC423959,Children's home,Active,Private,Heartwood Residential Services Ltd,ofsted-spreadsheets
SC424141,Children's home,Active,Private,Cambian Childcare Ltd,ofsted-spreadsheets
SC424759,Children's home,Active,Private,Harmony Childrens Services Ltd,ofsted-spreadsheets
SC424851,Children's home,Active,Private,Cambian Childcare Ltd,ofsted-spreadsheets
SC424897,Children's home,Active,Private,Clover Childcare Services Ltd,ofsted-spreadsheets
SC425071,Children's home,Active,Private,Ferndearle Child Care Services Limited,ofsted-spreadsheets
SC425418,Children's home,Active,Private,Esland South Limited,ofsted-spreadsheets
SC426318,Children's home,Active,Private,Unity Residential Care Services,ofsted-spreadsheets
SC426530,Children's home,Active,Private,My Choice Children's Homes Ltd,ofsted-spreadsheets
SC426719,Children's home,Active,Private,CareTech Community Services Limited,ofsted-spreadsheets
SC426751,Children's home,Active,Private,Enabling Futures Ltd,ofsted-spreadsheets
SC427331,Children's home,Active,Private,Ronanda Limited,ofsted-spreadsheets
SC427652,Children's home,Active,Private,Barnardiston Hall Preparatory School Limited,ofsted-spreadsheets
SC428599,Children's home,Active,Private,Courtyard Care Limited,ofsted-spreadsheets
SC428700,Children's home,Active,Private,Pathway Care Solutions Ii Ltd,ofsted-spreadsheets
SC428750,Children's home,Active,Private,Educare Adolescent Services Limited,ofsted-spreadsheets
SC428895,Children's home,Active,Private,Cambian Childcare Ltd,ofsted-spreadsheets
SC429011,Children's home,Active,Private,Bettercare Keys Ltd,ofsted-spreadsheets
SC429189,Children's home,Active,Private,R Place Limited,ofsted-spreadsheets
SC429369,Children's home,Active,Private,Pathways Care Group Limited,ofsted-spreadsheets
SC429702,Children's home,Active,Private,The Ryes College Limited,ofsted-spreadsheets
SC429748,Children's home,Active,Private,The Ryes College Limited,ofsted-spreadsheets
SC429754,Children's home,Active,Private,The Ryes College Limited,ofsted-spreadsheets
SC429762,Children's home,Active,Private,Atlas Healthcare Ltd,ofsted-spreadsheets
SC429778,Children's home,Active,Private,Atlas Healthcare Ltd,ofsted-spreadsheets
SC429918,Children's home,Active,Private,Archways Care Ltd,ofsted-spreadsheets
SC429995,Children's home,Active,Private,A Significant Other Limited,ofsted-spreadsheets
SC430002,Children's home,Active,Private,Roseberry Specialist Care Centres Ltd,ofsted-spreadsheets
SC430239,Children's home,Active,Private,Cambian Childcare Ltd,ofsted-spreadsheets
SC430320,Children's home,Active,Private,The Vine Residential Services (TVRS) Ltd,ofsted-spreadsheets
SC430587,Children's home,Active,Private,Direct Care Ltd,ofsted-spreadsheets
SC431192,Children's home,Active,Private,Independent Living Services (North West) Limited,ofsted-spreadsheets
SC431228,Children's home,Active,Private,Unique Care Homes Support Limited,ofsted-spreadsheets
SC431315,Children's home,Active,Private,Future In Mind Limited,ofsted-spreadsheets
SC431699,Children's home,Active,Private,Capstone Care Provider Limited,ofsted-spreadsheets
SC431799,Children's home,Active,Private,SWAAY Child and Adolescent Services Limited,ofsted-spreadsheets
SC431803,Children's home,Active,Private,SWAAY Child and Adolescent Services Limited,ofsted-spreadsheets
SC431804,Children's home,Active,Private,SWAAY Child and Adolescent Services Limited,ofsted-spreadsheets
SC431806,Children's home,Active,Private,SWAAY Child and Adolescent Services Limited,ofsted-spreadsheets
SC431807,Children's home,Active,Private,SWAAY Child and Adolescent Services Limited,ofsted-spreadsheets
SC431931,Children's home,Active,Private,Progressive Futures Care Limited,ofsted-spreadsheets
SC432741,Children's home,Active,Private,Hopscotch Care Limited,ofsted-spreadsheets
SC432966,Children's home,Active,Private,N H Care Limited 6038073,ofsted-spreadsheets
SC433286,Children's home,Active,Private,Keys Group Progressive Care & Education Limited,ofsted-spreadsheets
SC433290,Children's home,Active,Private,Cambian Childcare Ltd,ofsted-spreadsheets
SC433430,Children's home,Active,Private,Esland North Limited,ofsted-spreadsheets
SC433923,Children's home,Active,Private,Greenfields Adolescent Development Limited,ofsted-spreadsheets
SC434223,Children's home,Active,Private,Aspirations Specialist Residential Children's services Ltd,ofsted-spreadsheets
SC434517,Children's home,Active,Private,Channels and Choices Limited,ofsted-spreadsheets
SC434520,Children's home,Active,Private,Prestige Adolescent Care And Education Limited,ofsted-spreadsheets
SC434573,Children's home,Active,Private,Crusoe Care Limited 06843979,ofsted-spreadsheets
SC434806,Children's home,Active,Private,Cambian Childcare Ltd,ofsted-spreadsheets
SC434999,Children's home,Resigned,Private,Trax Care Limited,ofsted-spreadsheets
SC435322,Residential special school (registered as a children's home),Active,Private,Acorn Norfolk Limited,ofsted-spreadsheets
SC436372,Children's home,Active,Private,Cambian Childcare Ltd,ofsted-spreadsheets
SC436386,Children's home,Active,Private,Knossington Grange School Ltd,ofsted-spreadsheets
SC436469,Children's home,Active,Private,Blue Mountain Homes Ltd,ofsted-spreadsheets
SC436551,Children's home,Resigned,Private,Mulberry House Care Homes Limited,ofsted-spreadsheets
SC436559,Children's home,Active,Private,Choices Home For Children Limited,ofsted-spreadsheets
SC436818,Children's home,Active,Private,Grace Care Limited,ofsted-spreadsheets
SC436826,Children's home,Active,Private,CASC (Barrow) Limited,ofsted-spreadsheets
SC437128,Children's home,Active,Private,Hillcrest Childrens Services (2) Limited,ofsted-spreadsheets
SC437171,Children's home,Active,Private,John-Edwards Care Homes Ltd,ofsted-spreadsheets
SC437305,Children's home,Active,Private,Cambian Childcare Ltd,ofsted-spreadsheets
SC437486,Children's home,Active,Private,Progress Children's Services,ofsted-spreadsheets
SC437645,Children's home,Active,Private,The Partnership of Care Today Children's Services,ofsted-spreadsheets
SC437825,Children's home,Active,Private,Inspirations Leicestershire Limited comp number 07765916,ofsted-spreadsheets
SC438427,Children's home,Active,Private,MGM Care Services Ltd,ofsted-spreadsheets
SC438624,Children's home,Active,Private,Keys Care Limited,ofsted-spreadsheets
